SeriesID,VarID,SymbolID,StartTime,EndTime
13.0,9.0,27.0,35.0,67.0
13.0,10.0,29.0,35.0,53.0
13.0,10.0,28.0,54.0,67.0
13.0,11.0,31.0,35.0,67.0
15.0,1.0,3.0,5.0,31.0
15.0,1.0,2.0,41.0,43.0
15.0,1.0,2.0,56.0,60.0
15.0,1.0,2.0,67.0,68.0
15.0,1.0,1.0,32.0,40.0
15.0,1.0,1.0,44.0,55.0
15.0,1.0,1.0,61.0,66.0
15.0,2.0,4.0,7.0,8.0
15.0,2.0,5.0,4.0,5.0
15.0,2.0,5.0,25.0,26.0
15.0,2.0,5.0,27.0,28.0
15.0,2.0,5.0,30.0,31.0
15.0,2.0,5.0,35.0,36.0
15.0,2.0,5.0,39.0,41.0
15.0,2.0,5.0,46.0,47.0
15.0,2.0,5.0,50.0,51.0
15.0,2.0,6.0,6.0,7.0
15.0,2.0,6.0,8.0,23.0
15.0,2.0,6.0,26.0,27.0
15.0,2.0,6.0,29.0,30.0
15.0,2.0,6.0,31.0,32.0
15.0,2.0,6.0,34.0,35.0
15.0,2.0,6.0,38.0,39.0
15.0,2.0,6.0,42.0,43.0
15.0,2.0,6.0,45.0,46.0
15.0,2.0,6.0,47.0,49.0
15.0,3.0,8.0,44.0,45.0
15.0,3.0,8.0,52.0,53.0
15.0,3.0,7.0,36.0,37.0
15.0,3.0,7.0,39.0,43.0
15.0,3.0,7.0,45.0,48.0
15.0,3.0,7.0,50.0,51.0
15.0,3.0,7.0,53.0,54.0
15.0,3.0,9.0,38.0,39.0
15.0,4.0,12.0,2.0,3.0
15.0,4.0,12.0,5.0,6.0
15.0,4.0,12.0,8.0,48.0
15.0,4.0,12.0,51.0,53.0
15.0,4.0,10.0,3.0,4.0
15.0,4.0,10.0,6.0,7.0
15.0,5.0,15.0,2.0,23.0
15.0,5.0,15.0,25.0,51.0
15.0,6.0,18.0,10.0,11.0
15.0,6.0,18.0,13.0,22.0
15.0,6.0,18.0,25.0,35.0
15.0,6.0,18.0,38.0,53.0
15.0,6.0,16.0,11.0,12.0
15.0,6.0,16.0,23.0,24.0
15.0,6.0,16.0,36.0,37.0
15.0,7.0,19.0,16.0,67.0
15.0,8.0,23.0,2.0,6.0
15.0,8.0,23.0,61.0,66.0
15.0,8.0,24.0,7.0,9.0
15.0,8.0,22.0,10.0,60.0
15.0,8.0,22.0,67.0,68.0
15.0,9.0,26.0,31.0,32.0
15.0,9.0,26.0,44.0,60.0
15.0,9.0,26.0,67.0,68.0
15.0,9.0,25.0,32.0,35.0
15.0,9.0,27.0,4.0,30.0
15.0,9.0,27.0,36.0,43.0
15.0,9.0,27.0,61.0,66.0
15.0,10.0,30.0,36.0,51.0
15.0,10.0,28.0,52.0,67.0
15.0,11.0,33.0,5.0,9.0
15.0,11.0,33.0,41.0,46.0
15.0,11.0,32.0,10.0,40.0
15.0,11.0,32.0,52.0,66.0
15.0,11.0,31.0,47.0,51.0
15.0,11.0,31.0,67.0,68.0
16.0,1.0,1.0,32.0,67.0
16.0,2.0,6.0,7.0,8.0
16.0,5.0,13.0,2.0,3.0
16.0,5.0,13.0,8.0,9.0
16.0,5.0,13.0,12.0,13.0
16.0,5.0,13.0,21.0,22.0
16.0,5.0,13.0,23.0,24.0
16.0,5.0,15.0,25.0,26.0
16.0,5.0,15.0,28.0,38.0
16.0,5.0,15.0,41.0,51.0
16.0,7.0,20.0,51.0,59.0
16.0,7.0,21.0,23.0,50.0
16.0,7.0,21.0,60.0,67.0
16.0,8.0,23.0,47.0,59.0
16.0,8.0,24.0,8.0,46.0
16.0,8.0,24.0,60.0,67.0
16.0,9.0,25.0,10.0,67.0
16.0,10.0,30.0,39.0,50.0
16.0,10.0,30.0,65.0,67.0
16.0,10.0,29.0,32.0,38.0
16.0,10.0,28.0,51.0,64.0
17.0,1.0,3.0,15.0,19.0
17.0,1.0,2.0,6.0,7.0
17.0,1.0,2.0,20.0,26.0
17.0,1.0,1.0,7.0,14.0
17.0,1.0,1.0,27.0,67.0
17.0,2.0,4.0,40.0,41.0
17.0,2.0,6.0,7.0,8.0
17.0,3.0,8.0,1.0,2.0
17.0,3.0,8.0,3.0,4.0
17.0,3.0,8.0,18.0,19.0
17.0,3.0,8.0,37.0,38.0
17.0,3.0,8.0,49.0,50.0
17.0,3.0,7.0,12.0,13.0
17.0,3.0,7.0,14.0,15.0
17.0,3.0,9.0,2.0,3.0
17.0,3.0,9.0,4.0,10.0
17.0,3.0,9.0,13.0,14.0
17.0,3.0,9.0,15.0,17.0
17.0,3.0,9.0,20.0,21.0
17.0,3.0,9.0,23.0,25.0
17.0,3.0,9.0,27.0,36.0
17.0,3.0,9.0,38.0,48.0
17.0,3.0,9.0,50.0,53.0
17.0,4.0,12.0,1.0,17.0
17.0,4.0,12.0,20.0,21.0
17.0,4.0,12.0,23.0,25.0
17.0,4.0,12.0,27.0,53.0
17.0,4.0,10.0,18.0,19.0
17.0,4.0,10.0,22.0,23.0
17.0,4.0,10.0,26.0,27.0
17.0,5.0,13.0,8.0,9.0
17.0,5.0,13.0,25.0,26.0
17.0,5.0,15.0,7.0,8.0
17.0,5.0,15.0,9.0,10.0
17.0,5.0,15.0,12.0,18.0
17.0,5.0,15.0,20.0,21.0
17.0,5.0,15.0,23.0,24.0
17.0,5.0,15.0,27.0,35.0
17.0,5.0,15.0,37.0,51.0
17.0,5.0,14.0,1.0,6.0
17.0,5.0,14.0,36.0,37.0
17.0,7.0,20.0,14.0,15.0
17.0,7.0,20.0,16.0,19.0
17.0,7.0,20.0,27.0,49.0
17.0,7.0,21.0,20.0,26.0
17.0,7.0,19.0,15.0,16.0
17.0,7.0,19.0,50.0,67.0
17.0,8.0,23.0,6.0,13.0
17.0,8.0,23.0,15.0,19.0
17.0,8.0,23.0,27.0,29.0
17.0,8.0,23.0,36.0,55.0
17.0,8.0,23.0,62.0,67.0
17.0,8.0,24.0,20.0,26.0
17.0,8.0,24.0,30.0,35.0
17.0,8.0,22.0,14.0,15.0
17.0,8.0,22.0,56.0,61.0
17.0,9.0,26.0,10.0,14.0
17.0,9.0,26.0,27.0,59.0
17.0,9.0,26.0,62.0,67.0
17.0,9.0,25.0,15.0,26.0
17.0,9.0,27.0,6.0,9.0
17.0,9.0,27.0,60.0,61.0
17.0,10.0,30.0,6.0,67.0
17.0,11.0,32.0,27.0,29.0
