STIs,TempRels,VerSupp,HorSupp
"[1, 6, 15]","['c', 'c', 'e']",0.054878048780487805,1.1111111111111112
"[1, 6, 15, 999]","['c', 'c', 'e', 'b', 'b', 'b']",0.054878048780487805,1.1111111111111112
"[1, 6, 16]","['c', 'c', 'b']",0.06707317073170732,12.454545454545455
"[1, 6, 16, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.06707317073170732,12.454545454545455
"[1, 6, 17]","['c', 'c', 'b']",0.08536585365853659,6.857142857142857
"[1, 6, 17, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.08536585365853659,6.857142857142857
"[1, 6, 18]","['c', 'c', 'b']",0.054878048780487805,3.111111111111111
"[1, 6, 18, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.054878048780487805,3.111111111111111
"[1, 6, 23]","['c', 'f', 'b']",0.08536585365853659,2.642857142857143
"[1, 6, 23, 999]","['c', 'f', 'b', 'b', 'b', 'b']",0.08536585365853659,2.642857142857143
"[1, 6, 999]","['c', 'b', 'b']",0.2926829268292683,4.104166666666667
"[1, 9]",['c'],0.06097560975609756,2.0
"[1, 9, 999]","['c', 'b', 'b']",0.06097560975609756,2.0
"[1, 10]",['b'],0.06707317073170732,3.3636363636363638
"[1, 10, 999]","['b', 'b', 'b']",0.06707317073170732,3.3636363636363638
"[1, 10]",['c'],0.10975609756097561,2.2777777777777777
"[1, 10, 6]","['c', 'c', 'b']",0.06097560975609756,7.8
"[1, 10, 6, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.06097560975609756,7.8
"[1, 10, 999]","['c', 'b', 'b']",0.10975609756097561,2.2777777777777777
"[1, 11]",['b'],0.07926829268292683,3.230769230769231
"[1, 11, 999]","['b', 'b', 'b']",0.07926829268292683,3.076923076923077
"[1, 11]",['c'],0.12195121951219512,1.55
"[1, 11, 6]","['c', 'c', 'b']",0.07317073170731707,4.083333333333333
"[1, 11, 6, 999]","['c', 'c', 'b', 'b', 'b', 'b']",0.07317073170731707,4.083333333333333
"[1, 11, 999]","['c', 'b', 'b']",0.12195121951219512,1.55
"[1, 12]",['b'],0.06097560975609756,2.1
"[1, 12, 999]","['b', 'b', 'b']",0.054878048780487805,2.2222222222222223
"[1, 12]",['c'],0.06097560975609756,1.6
"[1, 12, 999]","['c', 'b', 'b']",0.06097560975609756,1.6
